3400921689273	PERINDOPRIL EVOLUGEN 2 MG 1 BOITE DE 30, COMPRIMES	0				625	901	901	05/07/12	
3400921690682	PERINDOPRIL EVOLUGEN 4 MG 1 BOITE DE 30, COMPRIMES	0				889	1259	1259	05/07/12	
3400921694017	PERINDOPRIL EVOLUGEN 8 MG 1 BOITE DE 30, COMPRIMES	0				1466	2042	2042	05/07/12	
3400921765717	BENAZEPRIL ACT 5MG CPR 30	690	BRIEM 5MG CPR                       | CIBACENE 5MG CPR	C09AA07	BENAZEPRIL	405	606	606	07/03/12	
3400921766196	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	1153	1693	1693	01/07/12	
3400921766196	BENAZEPRIL ACT 5MG CPR 90	0		C09AA07	BENAZEPRIL	1153	1693	1617	07/03/12	30/06/12
3400921766608	BENAZEPRIL ACTAVIS 5 MG 1 BOITE DE 30, COMPRIMES P	0				405	606	606	07/03/12	
3400921767148	BENAZEPRIL ACTAVIS 5 MG 1 BOITE DE 90, COMPRIMES P	0				1153	1693	1693	01/07/12	
3400921767148	BENAZEPRIL ACTAVIS 5 MG 1 BOITE DE 90, COMPRIMES P	0				1153	1693	1617	07/03/12	30/06/12
3400921767728	BENAZEPRIL ACT 10MG CPR 30	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	674	968	968	07/03/12	
3400921768268	BENAZEPRIL ACT 10MG CPR 90	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	1921	2723	2723	01/07/12	
3400921768268	BENAZEPRIL ACT 10MG CPR 90	689	BRIEM 10MG CPR                      | CIBACENE 10MG CPR	C09AA07	BENAZEPRIL	1921	2723	2658	07/03/12	30/06/12
3400921768787	BENAZEPRIL ACTAVIS 10 MG 1 BOITE DE 30, COMPRIMES	0				674	968	968	07/03/12	
3400921769159	BENAZEPRIL ACTAVIS 10 MG 1 BOITE DE 90, COMPRIMES	0				1921	2723	2723	01/07/12	
3400921769159	BENAZEPRIL ACTAVIS 10 MG 1 BOITE DE 90, COMPRIMES	0				1921	2723	2658	07/03/12	30/06/12
